epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,143.16,0.51214,0.27052,0.00248,0.93328,0.86441,0.87888,0.73595,0.83394,0.80815,0.00537,0.000201217,0.000201217,0.000201217
43,146.632,0.55429,0.27198,0.00261,0.91157,0.87365,0.87567,0.73555,0.82991,0.79248,0.00543,0.000198988,0.000198988,0.000198988
44,150.092,0.53572,0.29173,0.00244,0.94293,0.86441,0.87611,0.74642,0.80333,0.76371,0.00518,0.000196724,0.000196724,0.000196724
45,153.564,0.50568,0.25285,0.00241,0.92818,0.87629,0.87366,0.74505,0.77734,0.71876,0.00505,0.000194424,0.000194424,0.000194424
46,157.271,0.54301,0.30751,0.00261,0.89227,0.86441,0.86509,0.75602,0.73163,0.76354,0.0047,0.000192089,0.000192089,0.000192089
47,160.72,0.49698,0.25226,0.0024,0.94329,0.84585,0.87011,0.76301,0.72212,0.76953,0.00466,0.000189721,0.000189721,0.000189721
48,164.162,0.47376,0.25052,0.00215,0.94331,0.84611,0.86182,0.76017,0.74889,0.81343,0.00483,0.000187322,0.000187322,0.000187322
49,167.637,0.51353,0.26182,0.00236,0.9614,0.84441,0.86478,0.74604,0.76319,0.79639,0.00491,0.000184891,0.000184891,0.000184891
50,171.023,0.50324,0.27381,0.00239,0.93699,0.84746,0.88341,0.76612,0.74658,0.72359,0.00475,0.000182431,0.000182431,0.000182431
51,174.265,0.46982,0.22341,0.00215,0.9805,0.85221,0.89076,0.7687,0.7285,0.64729,0.00463,0.000179943,0.000179943,0.000179943
52,177.495,0.45805,0.21722,0.0022,0.97768,0.84746,0.89778,0.77413,0.74694,0.62912,0.00485,0.000177428,0.000177428,0.000177428
53,180.718,0.43393,0.18968,0.00208,0.95518,0.84746,0.86958,0.7524,0.74088,0.73062,0.00464,0.000174887,0.000174887,0.000174887
54,184.072,0.47754,0.2364,0.00227,0.9245,0.8302,0.85916,0.73909,0.75277,0.84861,0.00476,0.000172321,0.000172321,0.000172321
55,187.277,0.47305,0.2383,0.00222,0.94213,0.81356,0.85839,0.73568,0.81038,0.86021,0.00526,0.000169733,0.000169733,0.000169733
